Company,ISIN
China Railway Construction Corp Ltd,CNE1000009T1
Hengli Petrochemical Co Ltd,CNE0000018V0
SDIC Power Holdings Co Ltd,CNE000000JM2
Goertek Inc,CNE100000BP1
Guosen Securities Co Ltd,CNE100001WS9
China Longyuan Power Group Corp Ltd,CNE1000057F9
XCMG Construction Machinery Co Ltd,CNE000000FH0
Huaqin Technology Co Ltd,CNE100006M82
Shandong Gold Mining Co Ltd,CNE000001FR7
Poly Developments and Holdings Group Co Ltd,CNE000001ND1
Goneo Group Co Ltd,CNE100003RL0
Yunnan Baiyao Group Co Ltd,CNE0000008X7
IEIT SYSTEMS Co Ltd,CNE0000012M2
AECC Aviation Power Co Ltd,CNE000000JW1
China Shipbuilding Industry Co Ltd,CNE100000J75
Avary Holding Shenzhen Co Ltd,CNE100003GF5
GigaDevice Semiconductor Inc,CNE1000030S9
China Southern Airlines Co Ltd,CNE000001FG0
Unisplendour Corp Ltd,CNE0000010T1
Focus Media Information Technology Co Ltd,CNE000001KK2
EVE Energy Co Ltd,CNE100000GS4
Tongwei Co Ltd,CNE000001GS3
China Satellite Communications Co Ltd,CNE100003PX9
TCL Technology Group Corp,CNE000001GL8
Henan Shuanghui Investment & Development Co Ltd,CNE000000XM3
Huaneng Power International Inc,CNE000001998
Qinghai Salt Lake Industry Co Ltd,CNE000000SW2
Shanghai Baosight Software Co Ltd,CNE000000C66
Rongsheng Petrochemical Co Ltd,CNE100000W60
China Merchants Expressway Network Technology Holdings Co Ltd,CNE1000032B1
Montage Technology Co Ltd,CNE100003MN7
China Vanke Co Ltd,CNE0000000T2
Power Construction Corporation of China Ltd,CNE1000017G1
China Merchants Shekou Industrial Zone Holdings Co Ltd,CNE100002FC6
Bank of Hangzhou Co Ltd,CNE100002GQ4
Beijing Wantai Biological Pharmacy Enterprise Co Ltd,CNE100004090
360 Security Technology Inc,CNE100002RZ2
Sichuan Biokin Pharmaceutical Co Ltd,CNE100006FN4
Inner Mongolia BaoTou Steel Union Co Ltd,CNE0000017H1
China Energy Engineering Corp Ltd,CNE100004QL0
China Northern Rare Earth Group High-Tech Co Ltd,CNE000000T18
CNPC Capital Co Ltd,CNE000000MS3
Shanghai International Airport Co Ltd,CNE000000V89
Anhui Gujing Distillery Co Ltd,CNE000000MD5
Eoptolink Technology Inc Ltd,CNE100002615
Tsingtao Brewery Co Ltd,CNE0000009Y3
Jonhon Optronic Technology Co Ltd,CNE1000007T5
Guangdong Haid Group Co Ltd,CNE100000HP8
Orient Securities Co Ltd,CNE100001ZV6
Huali Industrial Group Co Ltd,CNE100004KP4
Shengyi Technology Co Ltd,CNE000000XL5
Shennan Circuits Co Ltd,CNE100003373
China Eastern Airlines Corp Ltd,CNE000000TR0
Chaozhou Three-circle Group Co Ltd,CNE100001Y42
Wus Printed Circuit Kunshan Co Ltd,CNE100000SP5
Guangzhou Automobile Group Co Ltd,CNE100001NQ2
Gd Power Development Co Ltd,CNE000000PC0
China Zheshang Bank Co Ltd,CNE100003PS9
Everbright Securities Co Ltd,CNE100000FD8
Zhejiang Zheneng Electric Power Co Ltd,CNE100001SP3
Sichuan Chuantou Energy Co Ltd,CNE000000BQ0
Huizhou Desay SV Automotive Co Ltd,CNE1000033C7
JCET Group Co Ltd,CNE000001F05
Zhejiang China Commodities City Group Co Ltd,CNE000001BC8
