Adjustment,Date,Company,ISIN
+,2022-12-12,YTO Express,CNE0000012J8
+,2022-12-12,YXSpecial Matrls,CNE100001XB3
-,2022-12-12,YYTM,CNE000000594
+,2022-12-12,Zhenhua Tech,CNE000000RY0
-,2022-12-12,ZHONGJIN GOLD,CNE000001FM8
-,2022-12-12,ZJ Longsheng,CNE000001FJ4
-,2022-06-13,Autobio,CNE100002GC4
-,2022-06-13,Betta Pharms,CNE100002DD9
-,2022-06-13,BGI Genomics,CNE100003449
-,2022-06-13,BOC China,CNE100003R64
+,2022-06-13,BTN,CNE100004G74
-,2022-06-13,Caitong Secs,CNE100002V44
+,2022-06-13,Cathay Biotech,CNE100004447
-,2022-06-13,Changjiang Secs,CNE000000SH3
+,2022-06-13,CHINA LONGYUAN,CNE1000057F9
+,2022-06-13,China Mobile,CNE1000055G1
+,2022-06-13,CNCEC,CNE100000KC0
+,2022-06-13,CNGR,CNE1000049X9
-,2022-06-13,CRSC,CNE100003MP2
+,2022-06-13,Desay SV,CNE1000033C7
-,2022-06-13,DSL Pharm,CNE100002RG2
+,2022-06-13,Ginlong Tech,CNE100003JZ7
+,2022-06-13,GOTION,CNE000001NY7
+,2022-06-13,HLIG,CNE100004KP4
+,2022-06-13,Hoyuan Energy,CNE100003JF9
-,2022-06-13,HWHG,CNE000000QW6
+,2022-06-13,Ingenic,CNE100001377
-,2022-06-13,IntroMedTech,CNE100003456
-,2022-06-13,JONJEE,CNE000000HK0
-,2022-06-13,Juewei Food,CNE100002RT5
-,2022-06-13,Kingfa,CNE000001JP3
+,2022-06-13,Maxwell,CNE100003FS0
-,2022-06-13,MeinianOnehealth,CNE000001LV7
-,2022-06-13,NJ Securities,CNE1000031R9
+,2022-06-13,NS Aluminium,CNE000001139
-,2022-06-13,PWRD,CNE1000018W6
+,2022-06-13,Qinghai SaltLake,CNE000000SW2
+,2022-06-13,Ronbay Tech,CNE100003MS6
+,2022-06-13,Sangfor,CNE1000033T1
+,2022-06-13,SATELLITE CHEM,CNE100001B07
+,2022-06-13,SG Micro,CNE100002NT4
-,2022-06-13,Shanghai Pharma,CNE000000C82
-,2022-06-13,SHLG,CNE000000C74
+,2022-06-13,SHRCB,CNE100004QD7
+,2022-06-13,Silan,CNE000001DN1
