Date,Rf (%)
2022-12-30,4.4
2022-12-29,4.45
2022-12-28,4.46
2022-12-27,4.46
2022-12-23,4.33
2022-12-22,4.34
2022-12-21,4.32
2022-12-20,4.36
2022-12-19,4.39
2022-12-16,4.3
2022-12-15,4.32
2022-12-14,4.34
2022-12-13,4.37
2022-12-12,4.4
2022-12-09,4.29
2022-12-08,4.27
2022-12-07,4.3
2022-12-06,4.38
2022-12-05,4.38
2022-12-02,4.32
2022-12-01,4.32
2022-11-30,4.38
2022-11-29,4.38
2022-11-28,4.41
2022-11-25,4.32
2022-11-23,4.31
2022-11-22,4.31
2022-11-21,4.33
2022-11-18,4.25
2022-11-17,4.23
2022-11-16,4.24
2022-11-15,4.24
2022-11-14,4.26
2022-11-10,4.19
2022-11-09,4.21
2022-11-08,4.2
2022-11-07,4.22
2022-11-04,4.12
2022-11-03,4.16
2022-11-02,4.14
2022-11-01,4.16
2022-10-31,4.16
2022-10-28,4.08
2022-10-27,4.04
2022-10-26,4.03
2022-10-25,4.07
2022-10-24,4.1
2022-10-21,3.99
2022-10-20,4
2022-10-19,4
2022-10-18,3.98
2022-10-17,3.91
2022-10-14,3.73
2022-10-13,3.72
2022-10-12,3.64
2022-10-11,3.61
2022-10-07,3.38
2022-10-06,3.39
2022-10-05,3.4
2022-10-04,3.39
2022-10-03,3.42
2022-09-30,3.29
2022-09-29,3.33
2022-09-28,3.36
2022-09-27,3.33
2022-09-26,3.37
2022-09-23,3.19
2022-09-22,3.26
2022-09-21,3.28
2022-09-20,3.33
2022-09-19,3.36
2022-09-16,3.17
2022-09-15,3.19
2022-09-14,3.21
2022-09-13,3.26
2022-09-12,3.16
2022-09-09,3.04
2022-09-08,3.03
2022-09-07,3.04
2022-09-06,3.02
2022-09-02,2.91
2022-09-01,2.94
2022-08-31,2.93
2022-08-30,2.94
2022-08-29,2.95
2022-08-26,2.84
2022-08-25,2.84
2022-08-24,2.79
2022-08-23,2.77
2022-08-22,2.8
2022-08-19,2.69
2022-08-18,2.66
2022-08-17,2.64
2022-08-16,2.66
2022-08-15,2.68
2022-08-12,2.58
2022-08-11,2.57
2022-08-10,2.61
2022-08-09,2.63
2022-08-08,2.62
2022-08-05,2.53
2022-08-04,2.46
2022-08-03,2.49
2022-08-02,2.53
2022-08-01,2.53
2022-07-29,2.39
2022-07-28,2.4
2022-07-27,2.42
2022-07-26,2.53
2022-07-25,2.6
2022-07-22,2.46
2022-07-21,2.45
2022-07-20,2.49
2022-07-19,2.51
2022-07-18,2.49
2022-07-15,2.33
2022-07-14,2.38
2022-07-13,2.38
2022-07-12,2.2
2022-07-11,2.17
2022-07-08,1.95
2022-07-07,1.93
2022-07-06,1.88
2022-07-05,1.89
2022-07-01,1.69
2022-06-30,1.69
2022-06-29,1.76
2022-06-28,1.78
2022-06-27,1.78
2022-06-24,1.69
2022-06-23,1.62
2022-06-22,1.6
2022-06-21,1.69
2022-06-17,1.61
2022-06-16,1.57
2022-06-15,1.72
2022-06-14,1.81
2022-06-13,1.72
2022-06-10,1.36
2022-06-09,1.28
2022-06-08,1.27
2022-06-07,1.26
2022-06-06,1.25
2022-06-03,1.19
2022-06-02,1.15
2022-06-01,1.14
2022-05-31,1.15
2022-05-27,1.08
2022-05-26,1.08
2022-05-25,1.07
2022-05-24,1.07
2022-05-23,1.09
2022-05-20,1.03
2022-05-19,1.06
2022-05-18,1.04
2022-05-17,1.08
2022-05-16,1.09
2022-05-13,1.03
2022-05-12,0.97
2022-05-11,0.91
2022-05-10,0.9
2022-05-09,0.93
2022-05-06,0.85
2022-05-05,0.85
2022-05-04,0.89
2022-05-03,0.91
2022-05-02,0.91
2022-04-29,0.84
2022-04-28,0.82
2022-04-27,0.83
2022-04-26,0.85
2022-04-25,0.95
2022-04-22,0.83
2022-04-21,0.83
2022-04-20,0.83
2022-04-19,0.83
2022-04-18,0.83
2022-04-14,0.79
2022-04-13,0.76
2022-04-12,0.75
2022-04-11,0.79
2022-04-08,0.7
2022-04-07,0.69
2022-04-06,0.68
2022-04-05,0.66
2022-04-04,0.68
2022-04-01,0.53
2022-03-31,0.52
2022-03-30,0.56
2022-03-29,0.57
2022-03-28,0.61
2022-03-25,0.54
2022-03-24,0.51
2022-03-23,0.51
2022-03-22,0.52
2022-03-21,0.56
2022-03-18,0.42
2022-03-17,0.41
2022-03-16,0.44
2022-03-15,0.47
2022-03-14,0.46
2022-03-11,0.4
2022-03-10,0.39
2022-03-09,0.39
2022-03-08,0.37
2022-03-07,0.39
2022-03-04,0.33
2022-03-03,0.38
2022-03-02,0.33
2022-03-01,0.32
2022-02-28,0.38
2022-02-25,0.33
2022-02-24,0.33
2022-02-23,0.37
2022-02-22,0.4
2022-02-18,0.36
2022-02-17,0.38
2022-02-16,0.4
2022-02-15,0.42
2022-02-14,0.46
2022-02-11,0.38
2022-02-10,0.42
2022-02-09,0.27
2022-02-08,0.27
2022-02-07,0.28
2022-02-04,0.23
2022-02-03,0.21
2022-02-02,0.2
2022-02-01,0.2
2022-01-31,0.24
2022-01-28,0.19
2022-01-27,0.2
2022-01-26,0.19
2022-01-25,0.2
2022-01-24,0.2
2022-01-21,0.17
2022-01-20,0.18
2022-01-19,0.17
2022-01-18,0.17
2022-01-14,0.13
2022-01-13,0.12
2022-01-12,0.12
2022-01-11,0.12
2022-01-10,0.13
2022-01-07,0.1
2022-01-06,0.1
2022-01-05,0.09
2022-01-04,0.08
2022-01-03,0.09
